City/Town,Ward,Pct,"Leigh B. Larocque",Write-Ins,Blanks,"Total Votes Cast"
,,,
Barnet,,,123,2,7,132
Ryegate,,,57,2,4,63
Waterford,,,86,2,4,92
TOTALS,,,266,6,15,287
