City/Town,Ward,Pct,"Brian E. Dubie",Write-Ins,Blanks,"Total Votes Cast"
Rupert,-,"Rutland 8",16,0,2,18
"Rutland City",-,"Rutland 5-1",322,4,21,347
"Rutland City",-,"Rutland 5-2",225,2,15,242
"Rutland City",-,"Rutland 5-3",121,1,7,129
"Rutland City",-,"Rutland 5-4",195,4,7,206
"Rutland Town",,,365,6,23,394
Ryegate,,,61,0,2,63
Salisbury,,,44,0,1,45
Sandgate,,,24,0,1,25
Searsburg,,,7,2,1,10
Shaftsbury,,,127,0,4,131
Sharon,,,43,1,1,45
Sheffield,,,31,1,3,35
Shelburne,-,"Chittenden 5-1",264,1,8,273
Shelburne,-,"Chittenden 5-2",181,4,3,188
Sheldon,,,93,14,1,108
Shoreham,,,83,1,3,87
Shrewsbury,,,72,0,4,76
"S. Burlington",-,"Chittenden 3-10",172,1,2,175
"S. Burlington",-,"Chittenden 3-7",152,0,7,159
"S. Burlington",-,"Chittenden 3-8",237,1,6,244
"S. Burlington",-,"Chittenden 3-9",209,0,5,214
"S. Hero",,,114,5,3,122
Springfield,-,"Windsor 1-1",6,1,0,7
Springfield,-,"Windsor 1-2",382,4,7,393
"St. Albans City",,,287,9,10,306
"St. Albans Town",,,482,23,15,520
"St. George",,,21,0,1,22
"St. Johnsbury",,,443,1,13,457
Stamford,,,30,0,1,31
Stannard,,,13,0,0,13
Starksboro,,,98,1,6,105
Stockbridge,,,38,0,0,38
Stowe,,,219,0,6,225
Strafford,,,36,0,3,39
Stratton,,,17,0,0,17
Sudbury,,,35,1,1,37
Sunderland,,,34,0,2,36
Sutton,,,48,1,2,51
Swanton,,,375,0,7,382
Thetford,,,63,1,0,64
Tinmouth,,,31,0,4,35
Topsham,,,75,0,4,79
Townshend,,,45,1,1,47
Troy,,,47,1,3,51
Tunbridge,,,78,4,3,85
Underhill,,,143,0,2,145
Vergennes,,,134,0,3,137
Vernon,,,179,1,4,184
Vershire,,,22,0,0,22
Victory,,,9,2,0,11
Waitsfield,,,92,0,2,94
Walden,,,56,0,3,59
Wallingford,,,127,5,7,139
Waltham,,,18,0,0,18
Wardsboro,,,26,0,1,27
Warren,,,60,0,3,63
Washington,,,38,0,3,41
Waterbury,,,239,2,19,260
Waterford,,,90,0,2,92
Waterville,,,47,0,0,47
Weathersfield,,,115,0,2,117
Wells,,,45,0,2,47
"W. Fairlee",,,28,0,0,28
"W. Haven",,,17,0,0,17
"W. Rutland",,,138,2,5,145
"W. Windsor",,,46,5,2,53
Westfield,,,29,2,2,33
Westford,,,192,0,4,196
Westminster,-,"Windham 4",5,0,0,5
Westminster,-,"Windham 5",61,2,1,64
Westmore,,,18,0,0,18
Weston,,,37,0,3,40
Weybridge,,,47,0,0,47
Wheelock,,,54,1,1,56
Whiting,,,22,0,3,25
Whitingham,,,39,0,0,39
Williamstown,,,140,9,9,158
Williston,,,450,1,10,461
Wilmington,,,63,1,0,64
Windham,,,10,0,2,12
Windsor,,,86,0,3,89
Winhall,,,45,1,2,48
Winooski,,,157,0,5,162
Wolcott,,,71,1,1,73
Woodbury,,,76,0,0,76
Woodford,,,12,0,0,12
Woodstock,,,175,5,4,184
Worcester,,,48,0,4,52
TOTALS,,,"28,452",416,"1,147","30,015"
