City/Town,Ward,Pct,"James Sault","Stewart Skrill","Jocelyn Stohl",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Braintree,,,52,41,69,6,32,200
Brookfield,,,43,44,36,2,29,154
Granville,,,8,5,5,0,4,22
Randolph,,,219,163,141,2,121,646
TOTALS,,,322,253,251,10,186,"1,022"
