City/Town,Ward,Pct,"James Eckhardt",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bridgewater,,,37,2,7,46
Chittenden,,,135,2,22,159
Killington,,,91,0,10,101
Mendon,,,108,3,13,124
TOTALS,,,371,7,52,430
