City/Town,Ward,Pct,"Ernest W. Shand",Write-Ins,Blanks,"Total Votes Cast"
,,,
Cavendish,,,100,1,21,122
Weathersfield,,,261,3,32,296
TOTALS,,,361,4,53,418
