City/Town,Ward,Pct,"Richard J. Howrigan","William Roberts",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Fairfield,,,178,114,63,153,508
Fletcher,,,85,81,0,102,268
"St. Albans Town",,,353,312,127,298,"1,090"
TOTALS,,,616,507,190,553,"1,866"
