City/Town,Ward,Pct,"Michel Consejo","Gregory Gervais",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Sheldon,,,145,103,17,101,366
Swanton,,,330,339,15,312,996
TOTALS,,,475,442,32,413,"1,362"
