City/Town,Ward,Pct,"Jeff Whittemore",Write-Ins,Blanks,"Total Votes Cast"
,,,
Cavendish,,,71,0,6,77
Weathersfield,,,102,2,13,117
TOTALS,,,173,2,19,194
