City/Town,Ward,Pct,"Harvey Smith",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bridport,,,114,1,6,121
"New Haven",,,105,1,3,109
Weybridge,,,44,0,3,47
TOTALS,,,263,2,12,277
