City/Town,Ward,Pct,"Patti Komline","Ed Weissman",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Danby,,,382,259,0,0,641
Dorset,,,650,353,0,0,"1,003"
Landgrove,,,49,47,0,0,96
"Mount Tabor",,,50,31,1,0,82
Peru,,,89,81,0,0,170
TOTALS,,,"1,220",771,1,0,"1,992"
