City/Town,Ward,Pct,"Willem Jewett",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Cornwall,,,555,6,0,561
Goshen,,,107,3,0,110
Hancock,,,146,4,0,150
Leicester,,,399,3,0,402
Ripton,,,284,4,0,288
Salisbury,,,414,5,0,419
TOTALS,,,"1,905",25,0,"1,930"
