City/Town,Ward,Pct,"Maxine Grad","Anne B. Donahue","Nathan Freeman","Kathleen Lott",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Democratic,Republican
Moretown,,,668,370,290,136,4,0,"1,468"
Northfield,,,"1,279","1,140",817,382,1,0,"3,619"
Roxbury,,,209,156,135,48,2,0,550
TOTALS,,,"2,156","1,666","1,242",566,7,0,"5,637"
