City/Town,Ward,Pct,"Richard A. Westman",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Belvidere,,,107,5,0,112
Cambridge,,,"1,342",36,0,"1,378"
Waterville,,,253,6,0,259
TOTALS,,,"1,702",47,0,"1,749"
