City/Town,Ward,Pct,"Pat McDonald","Steve Green",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
"Barre City",,,117,134,1,0,252
Berlin,,,641,518,0,0,"1,159"
TOTALS,,,758,652,1,0,"1,411"
