City/Town,Ward,Pct,"Michael J. Obuchowski","Carolyn W. Partridge",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Athens,,,81,74,2,0,157
Brookline,,,183,199,6,0,388
Grafton,,,250,243,9,0,502
Rockingham,,,"1,716","1,447",27,0,"3,190"
Westminster,,,72,64,0,0,136
Windham,,,146,161,7,0,314
TOTALS,,,"2,448","2,188",51,0,"4,687"
