City/Town,Ward,Pct,"Loren T. Shaw","Scott Wheeler","Winston Dowland","Thomas Jensen",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Progressive/Democratic,Progressive/Democratic
Brownington,,,158,151,130,103,1,0,543
Charleston,,,193,179,161,171,0,0,704
Derby,,,927,920,798,542,8,0,"3,195"
Holland,,,126,126,125,77,1,0,455
Morgan,,,172,160,124,93,0,0,549
TOTALS,,,"1,576","1,536","1,338",986,10,0,"5,446"
