City/Town,Ward,Pct,"David Sunderland",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
"Rutland Town",-,"Elementary Sch","1,325",17,0,"1,342"
"Rutland Town",-,"Town Hall",478,12,0,490
TOTALS,,,"1,803",29,0,"1,832"
