City/Town,Ward,Pct,"Janet Ancel",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Calais,,,806,20,0,826
Marshfield,,,655,19,0,674
Plainfield,,,569,8,0,577
TOTALS,,,"2,030",47,0,"2,077"
