City/Town,Ward,Pct,"David M. Ainsworth","Rosemary McLaughlin",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Royalton,,,606,507,2,0,"1,115"
Tunbridge,,,316,304,1,0,621
TOTALS,,,922,811,3,0,"1,736"
