City/Town,Ward,Pct,"Clem Bissonnette","Kenneth W. Atkins","Jean Szilva","Israel Smith",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Progressive,Progressive
Burlington,,,282,301,199,99,6,0,887
Winooski,,,"1,212","1,102",923,256,22,0,"3,515"
TOTALS,,,"1,494","1,403","1,122",355,28,0,"4,402"
