City/Town,Ward,Pct,"Steve Larrabee",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Cabot,,,448,63,0,511
Danville,,,955,23,0,978
Peacham,,,287,18,0,305
TOTALS,,,"1,690",104,0,"1,794"
