City/Town,Ward,Pct,"Leigh B. Larocque",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Barnet,,,649,42,0,691
Ryegate,,,376,23,0,399
Waterford,,,494,8,0,502
TOTALS,,,"1,519",73,0,"1,592"
