City/Town,Ward,Pct,"Ann Manwaring","Paul E. Kasanoff","Patience Merriman",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Progressive
Halifax,,,108,111,115,0,0,334
Whitingham,,,158,143,201,0,0,502
Wilmington,,,487,256,157,0,0,900
TOTALS,,,753,510,473,0,0,"1,736"
