City/Town,Ward,Pct,"John Moran","Philip E. Bartlett",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Dover,,,200,375,0,0,575
Readsboro,,,175,114,0,0,289
Searsburg,,,18,29,0,0,47
Stamford,,,188,107,1,0,296
Wardsboro,,,187,136,0,0,323
TOTALS,,,768,761,1,0,"1,530"
