City/Town,Ward,Pct,"Rick Hube","Tom Buchanan",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Jamaica,,,236,202,0,0,438
Londonderry,,,440,335,1,0,776
Stratton,,,69,32,0,0,101
Weston,,,161,195,0,0,356
Winhall,,,238,145,0,0,383
TOTALS,,,"1,144",909,1,0,"2,054"
