City/Town,Ward,Pct,"David L. Deen","Mike Mrowicki","Peter E. Barrett",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican
Dummerston,,,652,644,274,11,0,"1,581"
Putney,,,802,939,226,12,0,"1,979"
Westminster,,,953,786,403,17,0,"2,159"
TOTALS,,,"2,407","2,369",903,40,0,"5,719"
