City/Town,Ward,Pct,"Ernest W. Shand",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Cavendish,,,462,13,0,475
Weathersfield,,,"1,084",22,0,"1,106"
TOTALS,,,"1,546",35,0,"1,581"
