City/Town,Ward,Pct,"Richard Mazza",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican
Colchester,-,"High School","3,206",41,0,"3,247"
Colchester,-,"Meeting House","2,600",24,0,"2,624"
"Grand Isle",,,963,11,0,974
"Isle La Motte",,,254,1,0,255
"N. Hero",,,458,4,0,462
"S. Hero",,,947,5,0,952
TOTALS,,,"8,428",86,0,"8,514"
