City/Town,Ward,Pct,"Linda J. Martin","Harold Bailey",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
"Hyde Park",,,641,625,2,0,"1,268"
Wolcott,,,497,179,0,0,676
TOTALS,,,"1,138",804,2,0,"1,944"
