City/Town,Ward,Pct,"Richard J. Marek",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Marlboro,,,434,3,0,437
Newfane,,,764,16,0,780
Townshend,,,494,7,0,501
TOTALS,,,"1,692",26,0,"1,718"
