City/Town,Ward,Pct,"Richard J. Howrigan","George Allard","Eileen Dickinson","James Gregoire","Dick Day",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican,Independent
Fairfield,,,587,315,213,312,33,0,0,"1,460"
Fletcher,,,307,214,172,137,35,2,0,867
"St. Albans Town",,,910,"1,265","1,101",587,218,1,0,"4,082"
TOTALS,,,"1,804","1,794","1,486","1,036",286,3,0,"6,409"
