City/Town,Ward,Pct,"Martha Heath","Timothy Mack",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Essex,,,682,534,2,0,"1,218"
Westford,,,587,361,0,0,948
TOTALS,,,"1,269",895,2,0,"2,166"
