City/Town,Ward,Pct,"Peg Flory",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Pittsford,,,"1,080",32,0,"1,112"
Sudbury,,,228,7,0,235
TOTALS,,,"1,308",39,0,"1,347"
