City/Town,Ward,Pct,"Gaye Symington","Bill Frank","Eileen Haupt","Daneen Roy",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Bolton,,,343,310,138,142,0,0,933
Jericho,,,"1,667","1,463",975,937,0,0,"5,042"
Underhill,,,"1,092","1,107",506,466,0,0,"3,171"
TOTALS,,,"3,102","2,880","1,619","1,545",0,0,"9,146"
