City/Town,Ward,Pct,"Lucy Leriche","Michael Roosevelt",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Hardwick,,,"1,075",234,1,0,"1,310"
Stannard,,,82,25,0,0,107
Walden,,,346,104,0,0,450
TOTALS,,,"1,503",363,1,0,"1,867"
