City/Town,Ward,Pct,"Jim Douglas","Scudder Parker","Cris Ericson","Jim Hogue","Benjamin Clarke","Bob Skold",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Independent,Green,"Vermont Localist","Liberty Union"
Wells,,,278,145,8,3,2,2,0,0,438
"W. Fairlee",,,138,80,7,4,3,1,2,0,235
"W. Haven",,,76,33,2,1,0,0,0,0,112
"W. Rutland",,,557,297,10,2,2,3,1,0,872
"W. Windsor",,,344,211,8,6,6,3,0,0,578
Westfield,,,153,96,3,1,2,2,0,0,257
Westford,,,534,403,4,6,3,1,1,0,952
Westminster,-,"Windham 4",30,45,2,1,0,0,0,0,78
Westminster,-,"Windham 5",389,861,11,13,8,4,0,0,"1,286"
Westmore,,,106,76,2,3,0,0,0,0,187
Weston,,,183,168,2,2,2,0,0,0,357
Weybridge,,,268,234,3,0,0,0,0,0,505
Wheelock,,,176,102,5,1,1,0,0,0,285
Whiting,,,110,84,0,0,1,0,0,0,195
Whitingham,,,272,194,18,5,6,2,0,0,497
Williamstown,,,852,428,15,9,9,4,1,0,"1,318"
Williston,,,"2,881","1,501",17,9,10,3,1,0,"4,422"
Wilmington,,,441,393,19,15,11,7,0,0,886
Windham,,,89,80,12,3,2,2,0,0,188
Windsor,,,661,553,22,20,4,8,0,0,"1,268"
Winhall,,,235,134,6,3,2,7,0,0,387
Winooski,,,"1,097",912,8,11,44,2,0,0,"2,074"
Wolcott,,,353,311,9,3,1,0,0,0,677
Woodbury,,,231,214,1,6,0,2,0,0,454
Woodford,,,78,78,3,1,3,0,0,0,163
Woodstock,,,905,736,11,15,7,2,0,0,"1,676"
Worcester,,,196,295,3,4,0,0,0,0,498
TOTALS,,,"148,014","108,090","2,477","1,936","1,216",638,153,0,"262,524"
