City/Town,Ward,Pct,"Richard Lawrence","Cola H. Hudson","Steve Smith",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Democratic
Burke,,,402,346,353,8,0,"1,109"
Lyndon,,,"1,316","1,128",788,22,0,"3,254"
Sutton,,,268,244,161,4,0,677
TOTALS,,,"1,986","1,718","1,302",34,0,"5,040"
