City/Town,Ward,Pct,"Scott A. Orr","Ed Finkbeiner","Ed Stone",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Independent
Charlotte,,,990,609,521,1,0,"2,121"
Hinesburg,,,53,16,19,0,0,88
TOTALS,,,"1,043",625,540,1,0,"2,209"
