City/Town,Ward,Pct,"Dexter Randall","Lee Kittell",Write-Ins,Blanks,"Total Votes Cast"
,,,Progressive/Democratic/Republican,Independent
Jay,,,126,30,0,0,156
Lowell,,,161,124,3,0,288
Montgomery,,,265,214,0,0,479
Troy,,,394,108,2,0,504
Westfield,,,177,70,0,0,247
TOTALS,,,"1,123",546,5,0,"1,674"
