City/Town,Ward,Pct,"Harry L. Chen","Ira M. Pike",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Bridgewater,,,272,150,0,0,422
Chittenden,,,382,214,0,0,596
Killington,,,186,291,0,0,477
Mendon,,,342,194,0,0,536
TOTALS,,,"1,182",849,0,0,"2,031"
