City/Town,Ward,Pct,"William Johnson","Muriel Maw O'Gorman",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Progressive
Brighton,,,233,297,1,0,531
Canaan,,,278,89,0,0,367
"E. Haven",,,90,44,0,0,134
Lemington,,,44,7,0,0,51
Newark,,,161,72,1,0,234
Norton,,,51,21,0,0,72
Westmore,,,76,108,0,0,184
TOTALS,,,933,638,2,0,"1,573"
