City/Town,Ward,Pct,"Kathleen C. Keenan","James B. Fitzgerald","Michael Biggie","Sam Farrar",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
"St. Albans City",,,"1,372","1,206",731,663,4,0,"3,976"
TOTALS,,,"1,372","1,206",731,663,4,0,"3,976"
