City/Town,Ward,Pct,"Tony Klein",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
"E. Montpelier",,,"1,226",38,0,"1,264"
Middlesex,,,789,16,0,805
TOTALS,,,"2,015",54,0,"2,069"
