City/Town,Ward,Pct,"Jim Masland","Margaret Cheney","Tod Moses","Richard Wilson",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Norwich,,,"1,489","1,566",272,232,3,0,"3,562"
Sharon,,,299,316,113,228,2,0,958
Strafford,,,425,427,95,98,1,0,"1,046"
Thetford,,,955,748,333,135,2,0,"2,173"
TOTALS,,,"3,168","3,057",813,693,8,0,"7,739"
