City/Town,Ward,Pct,"Kathy Pellett","Wendalyn Truax",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Andover,,,145,113,0,0,258
Baltimore,,,44,51,0,0,95
Chester,,,989,474,0,0,"1,463"
Springfield,,,30,18,0,0,48
TOTALS,,,"1,208",656,0,0,"1,864"
