City/Town,Ward,Pct,"Steven C. Adams",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican/Democratic
Hartland,,,"1,387",36,0,"1,423"
"W. Windsor",,,517,9,0,526
TOTALS,,,"1,904",45,0,"1,949"
