City/Town,Ward,Pct,"Dennis J. Devereux","Jean S. Morrill",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Ludlow,,,450,559,5,0,"1,014"
"Mount Holly",,,409,230,0,0,639
Plymouth,,,152,127,0,0,279
TOTALS,,,"1,011",916,5,0,"1,932"
