City/Town,Ward,Pct,"Christopher A. Bray","Harvey Smith",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Bridport,,,276,343,0,0,619
"New Haven",,,436,459,0,0,895
Weybridge,,,319,178,0,0,497
TOTALS,,,"1,031",980,0,0,"2,011"
