City/Town,Ward,Pct,"Janice L. Peaslee","Stephanie R. Sterling",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Bloomfield,,,65,23,0,0,88
Brunswick,,,32,15,0,0,47
Concord,,,281,237,1,0,519
Granby,,,20,13,0,0,33
Guildhall,,,75,39,0,0,114
Kirby,,,113,84,0,0,197
Lunenburg,,,234,193,4,0,431
Maidstone,,,52,24,1,0,77
Victory,,,19,31,0,0,50
TOTALS,,,891,659,6,0,"1,556"
