City/Town,Ward,Pct,"Kathy Lavoie","Michel Consejo","Brian K. Savage",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican/Democratic,Democratic,Republican
Sheldon,,,397,491,162,0,0,"1,050"
Swanton,,,"1,640","1,043","1,079",6,0,"3,768"
TOTALS,,,"2,037","1,534","1,241",6,0,"4,818"
