City/Town,Ward,Pct,"Sarah Copeland Hanzas",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican
Bradford,,,923,17,0,940
Fairlee,,,416,3,0,419
"W. Fairlee",,,214,4,0,218
TOTALS,,,"1,553",24,0,"1,577"
