City/Town,Ward,Pct,"Will Stevens","Steve Jackson",Write-Ins,Blanks,"Total Votes Cast"
,,,Independent,Republican
Benson,,,248,167,2,0,417
Orwell,,,336,234,2,0,572
Shoreham,,,399,158,2,0,559
Whiting,,,122,66,2,0,190
TOTALS,,,"1,105",625,8,0,"1,738"
