City/Town,Ward,Pct,"Michael Fisher","Dave Sharpe","Barbara Rainville","Nathan Fitzgerald",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Bristol,,,970,971,651,376,2,0,"2,970"
Lincoln,,,502,412,243,100,5,0,"1,262"
Monkton,,,590,540,326,216,0,0,"1,672"
Starksboro,,,453,426,260,153,1,0,"1,293"
TOTALS,,,"2,515","2,349","1,480",845,8,0,"7,197"
