City/Town,Ward,Pct,"Michael J. Marcotte","Duncan Kilmartin",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican/Democratic,Republican/Democratic
Coventry,,,302,231,11,0,544
Irasburg,,,351,344,26,0,721
"Newport City",,,"1,144","1,029",49,0,"2,222"
"Newport Town",,,460,400,33,0,893
TOTALS,,,"2,257","2,004",119,0,"4,380"
