City/Town,Ward,Pct,"Shap Smith","Peter Peltz","Alexandra J. Garven","Retta Dunlap",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Elmore,,,299,225,117,73,0,0,714
Morristown,,,"1,596",871,667,476,4,0,"3,614"
Woodbury,,,201,321,78,183,0,0,783
Worcester,,,339,317,99,125,0,0,880
TOTALS,,,"2,435","1,734",961,857,4,0,"5,991"
