City/Town,Ward,Pct,"Carolyn Whitney Branagan","Gary Gilbert","Brian C. Dunsmore","Peter D. Moss","Bob Shea",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Republican,Democratic,Independent
Fairfax,,,666,"1,058",591,359,340,2,0,"3,016"
Georgia,,,"1,062",651,"1,071",331,199,2,0,"3,316"
TOTALS,,,"1,728","1,709","1,662",690,539,4,0,"6,332"
