City/Town,Ward,Pct,"Patsy French","Jim Hutchinson","Bob Wolffe","David Atkinson",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Libertarian/Republican
Braintree,,,349,357,121,126,1,0,954
Brookfield,,,406,374,173,144,0,0,"1,097"
Granville,,,93,91,23,17,0,0,224
Randolph,,,"1,385","1,252",574,420,4,0,"3,635"
TOTALS,,,"2,233","2,074",891,707,5,0,"5,910"
