City/Town,Ward,Pct,"Dave Potter","Joseph Baker",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Clarendon,,,736,667,18,0,"1,421"
Ira,,,108,98,0,0,206
Proctor,,,530,478,6,0,"1,014"
"W. Rutland",,,572,626,19,0,"1,217"
TOTALS,,,"1,946","1,869",43,0,"3,858"
