City/Town,Ward,Pct,"Norman H. McAllister","Albert Joseph Perry",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican/Democratic,Democratic
Berkshire,,,409,393,7,0,809
Franklin,,,384,324,6,0,714
Highgate,,,924,670,6,0,"1,600"
Richford,,,536,593,23,0,"1,152"
TOTALS,,,"2,253","1,980",42,0,"4,275"
