City/Town,Ward,Pct,"Mark B. Mitchell","Scott Milne",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Barnard,,,255,245,1,0,501
Hartford,,,455,411,8,0,874
Pomfret,,,276,230,2,0,508
TOTALS,,,986,886,11,0,"1,883"
