City/Town,Ward,Pct,"Cynthia Browning","Gerald Woodard",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Arlington,,,617,463,2,0,"1,082"
Rupert,,,17,28,2,0,47
Sandgate,,,113,59,0,0,172
Sunderland,,,215,179,1,0,395
TOTALS,,,962,729,5,0,"1,696"
