City/Town,Ward,Pct,"Alison H. Clarkson",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Reading,,,292,20,0,312
Woodstock,,,"1,386",168,0,"1,554"
TOTALS,,,"1,678",188,0,"1,866"
