City/Town,Ward,Pct,"Sandy Haas","Neal Fox",Write-Ins,Blanks,"Total Votes Cast"
,,,Progressive/Democratic,Republican
Bethel,,,454,438,3,0,895
Pittsfield,,,115,132,0,0,247
Rochester,,,440,193,0,0,633
Stockbridge,,,184,134,0,0,318
TOTALS,,,"1,193",897,3,0,"2,093"
