City/Town,Ward,Pct,"William Canfield","Robert Helm",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican
Castleton,,,"1,097","1,099",48,0,"2,244"
"Fair Haven",,,940,742,15,0,"1,697"
Hubbardton,,,197,203,4,0,404
"W. Haven",,,97,84,0,0,181
TOTALS,,,"2,331","2,128",67,0,"4,526"
